City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,thunder bay,48.4001,-89.3168,21.99,73,75,2.57,CA,1696265812
160,kelso,46.1468,-122.9084,13.59,90,100,3.13,US,1696265950
161,ladek-zdroj,50.3437,16.8795,17.07,81,67,2.37,PL,1696265950
162,dalandzadgad,43.5708,104.425,11.07,42,16,2.83,MN,1696265950
163,juneau,58.3019,-134.4197,10.12,97,100,4.63,US,1696265788
164,xinyuan,37.3,99.0,4.85,61,30,1.29,CN,1696265951
165,hurricane,37.1753,-113.2899,15.82,62,56,0.89,US,1696265951
166,saarijarvi,62.7049,25.254,7.09,89,97,1.88,FI,1696265952
167,kirakira,-10.4544,161.9205,26.54,89,90,5.62,SB,1696265384
168,sao felix do xingu,-6.6447,-51.995,41.51,18,62,1.85,BR,1696265952
169,mount pearl,47.5166,-52.7813,16.19,82,75,3.6,CA,1696265356
170,lerwick,60.1545,-1.1494,13.0,77,24,10.12,GB,1696265398
171,sinabang,2.4803,96.3801,26.7,79,93,5.2,ID,1696265421
172,kununurra,-15.7667,128.7333,24.99,73,63,2.57,AU,1696265954
173,taoudenni,22.6783,-3.9836,42.08,10,80,0.99,ML,1696265954
174,kone,-21.0595,164.8658,18.55,86,41,2.74,NC,1696265429
175,holualoa,19.6228,-155.9522,23.26,76,40,3.13,US,1696265955
176,strezhevoy,60.7333,77.5889,9.42,83,44,4.47,RU,1696265408
177,fort mcmurray,56.7268,-111.381,9.73,87,100,1.03,CA,1696265139
178,ancud,-41.8697,-73.8203,9.72,60,17,2.51,CL,1696265345
179,santa elena de uairen,4.6167,-61.1333,31.1,29,94,4.07,VE,1696265956
180,coppenbrugge,52.1167,9.55,22.18,67,100,1.22,DE,1696265956
181,new norfolk,-42.7826,147.0587,10.51,74,1,1.23,AU,1696265134
182,bontang,0.1333,117.5,25.97,85,94,3.23,ID,1696265403
183,benguela,-12.5763,13.4055,23.18,76,22,2.31,AO,1696265957
184,ta`u,-14.2336,-169.5144,26.69,80,94,11.28,AS,1696265427
185,robore,-18.3333,-59.75,34.05,52,20,6.17,BO,1696265377
186,san luis de la loma,17.2706,-100.8939,31.04,62,97,1.87,MX,1696265360
187,port saint john's,-31.6229,29.5448,19.23,74,0,9.19,ZA,1696265400
188,ban dung,17.699,103.2596,24.22,92,15,1.82,TH,1696265959
189,hadibu,12.65,54.0333,27.48,78,74,1.28,YE,1696265959
190,walvis bay,-22.9575,14.5053,19.53,68,0,5.14,NA,1696265415
191,thompson,55.7435,-97.8558,4.09,93,100,2.06,CA,1696265389
192,mountain home,43.133,-115.6912,13.01,92,100,3.6,US,1696265960
193,filey,54.21,-0.2892,15.99,85,100,4.52,GB,1696265960
194,kupang,-10.1667,123.5833,26.32,83,10,3.09,ID,1696265422
195,zavoronezhskoye,52.8801,40.5526,12.88,88,96,3.13,RU,1696265961
196,les anglais,18.3054,-74.2197,30.53,73,100,2.08,HT,1696265961
197,east london,-33.0153,27.9116,19.52,77,0,7.2,ZA,1696265962
198,maputo,-25.9653,32.5892,20.82,49,20,4.12,MZ,1696265962
199,lyantor,61.6195,72.1555,10.79,75,100,8.85,RU,1696265962
200,sidi ifni,29.3797,-10.173,39.86,40,23,3.87,MA,1696265963
201,es castell,39.8795,4.2854,25.38,73,40,3.6,ES,1696265407
202,usinsk,65.9939,57.5281,5.24,95,100,7.04,RU,1696265963
203,mhamid,29.82,-5.72,32.8,15,92,6.05,MA,1696265963
204,olyokminsk,60.3736,120.4264,1.11,85,99,1.34,RU,1696265407
205,nar'yan-mar,67.6713,53.087,3.95,78,97,9.39,RU,1696265363
206,nanga eboko,4.6833,12.3667,24.08,85,85,0.85,CM,1696265964
207,el sauzal de rodriguez,31.9,-116.6833,18.01,71,0,1.63,MX,1696265965
208,naze,28.3667,129.4833,26.51,79,82,9.05,JP,1696265965
209,nova sintra,14.8667,-24.7167,24.07,78,81,1.91,CV,1696265391
210,huarmey,-10.0681,-78.1522,22.53,74,22,5.09,PE,1696265966
211,sirte,31.2089,16.5887,24.58,59,0,5.04,LY,1696265966
212,cuyo,10.8525,121.0086,29.09,80,100,7.84,PH,1696265966
213,road town,18.4167,-64.6167,32.02,70,40,5.14,VG,1696265967
214,freetown,8.484,-13.2299,26.84,89,75,3.6,SL,1696265369
215,claudio,-20.4433,-44.7658,27.74,54,97,4.96,BR,1696265968
216,klyuchi,52.2667,79.1667,6.58,47,2,3.25,RU,1696265141
217,arfoud,31.4348,-4.2375,30.88,16,32,1.01,MA,1696265968
